system,basis,label,N,variant,raw_dim,eff_dim,eff_frac,gs_err,s_min,s_max,cond_S,h_min_abs,cond_H,h_reg_min_abs,cond_H_reg,S_singular,H_singular
H2+H4,sto-3g,STO-3G,1,lanczos,1,1,1.0,0.06047208061556297,1.0,1.0,1.0,8.934017872893422,1.0,8.934017872893422,1.0,False,False
H2+H4,sto-3g,STO-3G,1,novel,1,1,1.0,0.06047208061556297,1.0,1.0,1.0,8.934017872893422,1.0,8.934017872893422,1.0,False,False
H2+H4,sto-3g,STO-3G,2,uab,2,2,1.0,0.009253744885004522,0.0066427049271859375,1.9933572950728133,300.0821678703202,0.04497512551664151,396.2870679188074,0.0449751255166421,396.2870679188021,False,False
H2+H4,sto-3g,STO-3G,2,lanczos,2,2,1.0,0.008962908000729186,1.0,1.0000000000000004,1.0000000000000004,6.69374366206504,1.3423769267459813,6.69374366206504,1.3423769267459813,False,False
H2+H4,sto-3g,STO-3G,2,novel,4,4,1.0,0.008056431223225857,1.3703608764427539e-05,3.9924393388943664,291342.1863923994,8.688794689516655e-05,410608.3121372827,8.688794689131325e-05,410608.31215549196,False,False
H2+H4,sto-3g,STO-3G,3,uab,3,3,1.0,0.0022250620700372536,0.0002275124926414893,2.976182962043893,13081.404574709297,0.0013256608179184472,20095.011508269476,0.0013256608179183487,20095.011508270978,False,False
H2+H4,sto-3g,STO-3G,3,lanczos,3,3,1.0,0.002062846116180239,1.0,1.0000000000000007,1.0000000000000007,5.3147726877335,1.691968337262539,5.314772687733498,1.6919683372625396,False,False
H2+H4,sto-3g,STO-3G,3,novel,9,9,1.0,0.002228510302909825,2.4669044394668008e-09,8.957764622998546,3631176173.5426955,1.3154592232680884e-08,6086064257.175409,1.3154597577339551e-08,6086061784.432636,False,False
H2+H4,sto-3g,STO-3G,4,uab,4,4,1.0,0.000717017208758719,1.3750153371028816e-05,3.9481481828399074,287134.8468853114,7.206844155031064e-05,490887.1080118111,7.206844155081798e-05,490887.1080083552,False,False
H2+H4,sto-3g,STO-3G,4,lanczos,4,4,1.0,0.0006329786554264416,1.0,1.000000000000001,1.000000000000001,4.220471024770132,2.1310078714125065,4.220471024770131,2.131007871412507,False,False
H2+H4,sto-3g,STO-3G,4,novel,16,14,0.875,0.0011187602688433884,8.625324006091381e-13,15.871030668659547,18400503746237.36,4.399411074543302e-12,32246788422179.48,3.890395439521779e-09,36465927515.180786,True,False
H2+H4,sto-3g,STO-3G,5,uab,5,5,1.0,0.00022926008080226268,1.3027197920962139e-06,4.9113802050838125,3770097.1727625956,5.785944612200867e-06,7613374.743755103,5.785944616218924e-06,7613374.7384679895,False,False
H2+H4,sto-3g,STO-3G,5,lanczos,5,5,1.0,0.00018563945837080098,0.9999999999999997,1.0000000000000009,1.0000000000000013,3.2007403292064525,2.8100699803662397,3.2007403292064547,2.81006998036624,False,False
H2+H4,sto-3g,STO-3G,5,novel,25,19,0.76,0.0007824818104715803,5.91795743281562e-16,24.70617510440711,4.1747808065345464e+16,6.010711506506492e-15,3.6744800551749784e+16,8.173050238826027e-10,270232519104.6582,True,False
H2+H4,sto-3g,STO-3G,6,uab,6,6,1.0,6.97711217334529e-05,1.4259605377667947e-07,5.868866262528078,41157283.85947724,5.607180718922237e-07,93948599.02572611,5.607180726064726e-07,93948598.90605325,False,False
H2+H4,sto-3g,STO-3G,6,lanczos,6,6,1.0,5.069588902273381e-05,0.9999999999999994,1.0000000000000013,1.000000000000002,2.525257462734254,3.5617909818514604,2.5252574627342566,3.5617909818514546,False,False
H2+H4,sto-3g,STO-3G,6,novel,36,23,0.6388888888888888,0.0007387062551309498,-2.5438051133188375e-15,35.43700764167208,1.3930708550010862e+16,1.98559081445797e-15,1.5953101842182038e+17,1.806633180142433e-09,175333503381.42136,True,False
H2+H4,6-31g,6-31G,1,uab,1,1,1.0,0.02408227196122681,1.0,1.0,1.0,8.996840594335579,1.0,8.996840594335579,1.0,False,False
H2+H4,6-31g,6-31G,1,lanczos,1,1,1.0,0.02408227196122681,1.0,1.0,1.0,8.996840594335579,1.0,8.996840594335579,1.0,False,False
H2+H4,6-31g,6-31G,1,novel,1,1,1.0,0.02408227196122681,1.0,1.0,1.0,8.996840594335579,1.0,8.996840594335579,1.0,False,False
H2+H4,6-31g,6-31G,2,uab,2,2,1.0,0.0028080238143903813,0.0019796298413817244,1.9980203701586177,1009.2898825792893,0.01474524825876757,1219.303712280466,0.014745248258767238,1219.303712280493,False,False
