system,basis,label,R,N,variant,basis_type,raw_dim,eff_dim,n_discarded,eff_frac,gs_total,E_exact,gs_err,s_min,s_max,cond_S,h_min_abs,h_max_abs,cond_H,h_reg_min_abs,cond_H_reg,n_kept_S,S_singular,H_singular
H2+H2,6-31g,6-31G,1.1,3,novel,lanczos_orthogonal,9,9,0,1.0,-1.771424698898981,-1.7784790763094867,0.00705437741050563,0.9999999999893588,1.000000000010701,1.0000000000213423,0.18331724771249078,5.911683600605885,32.248376376878575,0.1833172477124908,32.24837637687857,9,False,False
H2+H2,6-31g,6-31G,1.1,4,hybrid,lanczos_orthogonal,20,20,0,1.0,-1.7729195629830343,-1.7784790763094867,0.0055595133264523255,0.9999999988019262,1.0000000011981145,1.0000000023961884,0.30859562057251316,6.19825925339328,20.085376590549593,0.3085956205725133,20.08537659054966,20,False,False
H2+H2,6-31g,6-31G,1.1,4,joint,lanczos_orthogonal,4,4,0,1.0,-1.7747406970310502,-1.7784790763094867,0.0037383792784364545,0.9999999999999989,1.0000000000000002,1.0000000000000013,0.9444368459102714,5.914999598737969,6.262991140542539,0.9444368459102704,6.262991140542548,4,False,False
H2+H2,6-31g,6-31G,1.1,4,novel,lanczos_orthogonal,16,16,0,1.0,-1.7725647084386837,-1.7784790763094867,0.005914367870802906,0.999999998817793,1.0000000011822494,1.0000000023644564,0.37219825198638734,5.912823610145255,15.886220793862053,0.3721982519863882,15.886220793862014,16,False,False
H2+H2,6-31g,6-31G,1.1,5,hybrid,lanczos_orthogonal,30,30,0,1.0,-1.7731010849037476,-1.7784790763094867,0.005377991405739024,0.9999998838227813,1.000000116175643,1.000000232352889,0.18947960509649844,9.005643560964122,47.52830024306687,0.18947960509649803,47.52830024306707,30,False,False
H2+H2,6-31g,6-31G,1.1,5,joint,lanczos_orthogonal,5,5,0,1.0,-1.7767182188972308,-1.7784790763094867,0.0017608574122558451,0.9999999999999993,1.000000000000001,1.0000000000000018,0.24485722254303824,5.916977120604159,24.165009547815725,0.24485722254303838,24.16500954781571,5,False,False
H2+H2,6-31g,6-31G,1.1,5,novel,lanczos_orthogonal,25,25,0,1.0,-1.773048113267782,-1.7784790763094867,0.005430963041704651,0.9999998840294242,1.0000001159689975,1.0000002319396002,0.23576963607783988,5.913307014893167,25.080867550479976,0.23576963607784177,25.080867550479763,25,False,False
H2+H2,6-31g,6-31G,1.1,6,hybrid,lanczos_orthogonal,42,42,0,1.0,-1.7733386935861883,-1.7784790763094867,0.005140382723298309,0.9999907655597207,1.0000092344192373,1.0000184690300677,0.15524753176285946,16.15311253115854,104.04746760053109,0.15524753176285788,104.04746760053214,42,False,False
H2+H2,6-31g,6-31G,1.1,6,joint,lanczos_orthogonal,6,6,0,1.0,-1.7778798991291858,-1.7784790763094867,0.0005991771803008916,0.9999999999999993,1.000000000000001,1.0000000000000018,0.687005241664197,5.918138800836114,8.614401232951373,0.6870052416641969,8.614401232951371,6,False,False
H2+H2,6-31g,6-31G,1.1,6,novel,lanczos_orthogonal,36,36,0,1.0,-1.7732835511042735,-1.7784790763094867,0.005195525205213158,0.9999907667976545,1.0000092331813046,1.0000184665541556,0.19845669354089251,7.219193909285509,36.3766713053595,0.19845669354089007,36.37667130535991,36,False,False
