R,N,procedure,E_int,E_int_exact,int_err
10.0,5,novel,0.0013633214075450262,-2.3450992703288875e-08,0.0013633448585377295
10.0,6,novel,0.0014222619516544022,-2.3450992703288875e-08,0.0014222854026471055
10.0,7,novel,0.0014243435301728447,-2.3450992703288875e-08,0.001424366981165548
10.0,8,novel,0.0011053331908073005,-2.3450992703288875e-08,0.0011053566418000038
10.0,2,baseline_separate,-9.220925849096062e-06,-2.3450992703288875e-08,9.197474856392773e-06
10.0,3,baseline_separate,-1.4590240322576165e-06,-2.3450992703288875e-08,1.4355730395543276e-06
10.0,4,baseline_separate,-2.165535955445108e-06,-2.3450992703288875e-08,2.1420849627418193e-06
10.0,5,baseline_separate,-3.346720496288924e-07,-2.3450992703288875e-08,3.1122105692560353e-07
10.0,6,baseline_separate,-4.645232647426667e-07,-2.3450992703288875e-08,4.410722720393778e-07
10.0,7,baseline_separate,3.666490152243185e-05,-2.3450992703288875e-08,3.6688352515135136e-05
10.0,8,baseline_separate,-6.271012953362742e-08,-2.3450992703288875e-08,3.925913683033855e-08
10.0,2,baseline_dimer,-9.220925849096062e-06,-2.3450992703288875e-08,9.197474856392773e-06
10.0,3,baseline_dimer,-1.4590240322576165e-06,-2.3450992703288875e-08,1.4355730395543276e-06
10.0,4,baseline_dimer,-2.165535955445108e-06,-2.3450992703288875e-08,2.1420849627418193e-06
10.0,5,baseline_dimer,-3.346720496288924e-07,-2.3450992703288875e-08,3.1122105692560353e-07
10.0,6,baseline_dimer,-4.645232647426667e-07,-2.3450992703288875e-08,4.410722720393778e-07
10.0,7,baseline_dimer,3.666490152243185e-05,-2.3450992703288875e-08,3.6688352515135136e-05
10.0,8,baseline_dimer,-6.271012953362742e-08,-2.3450992703288875e-08,3.925913683033855e-08
1.1,2,novel,0.5376742487239161,0.5247495641405289,0.012924684583387247
1.1,3,novel,0.5317870723667131,0.5247495641405289,0.007037508226184208
1.1,4,novel,0.5307453741865933,0.5247495641405289,0.00599581004606442
1.1,5,novel,0.5303044151278762,0.5247495641405289,0.005554850987347315
1.1,6,novel,0.5302309313230333,0.5247495641405289,0.005481367182504471
1.1,7,novel,0.5302045925953429,0.5247495641405289,0.005455028454814048
1.1,8,novel,0.5301648426062808,0.5247495641405289,0.00541527846575196
1.1,2,baseline_separate,0.5368482939850994,0.5247495641405289,0.0120987298445705
1.1,3,baseline_separate,0.531251938773595,0.5247495641405289,0.0065023746330661325
1.1,4,baseline_separate,0.5282033965846411,0.5247495641405289,0.003453832444112237
1.1,5,baseline_separate,0.5265153141071739,0.5247495641405289,0.001765749966645025
1.1,6,baseline_separate,0.5265359744782891,0.5247495641405289,0.0017864103377602802
1.1,7,baseline_separate,0.5253832423385472,0.5247495641405289,0.0006336781980182948
1.1,8,baseline_separate,0.5253973197993842,0.5247495641405289,0.0006477556588553313
1.1,2,baseline_dimer,0.5368482939850994,0.5247495641405289,0.0120987298445705
1.1,3,baseline_dimer,0.531251938773595,0.5247495641405289,0.0065023746330661325
1.1,4,baseline_dimer,0.5282033965846411,0.5247495641405289,0.003453832444112237
