system,basis,label,N,variant,raw_dim,eff_dim_11,eff_dim_1000,eff_dim_kron,E_R11,E_R1000,E_kron,E_mono_sum,C_mono,C_rdiff,gap_identity,delta_exact,err_vs_exact_mono,err_vs_exact_rdiff,E_1000_vs_2Emono,E_kron_vs_2Emono,dt_11,dt_1000
H2+H2,sto-3g,STO-3G,6,cross_product,36,10,4,4,-2.945563950853347,-2.2745403493217924,-2.2745403493218443,-2.274540349321804,-0.6710236015315432,-0.6710236015315547,1.1546319456101628e-14,-0.6710236015315423,8.881784197001252e-16,1.2434497875801753e-14,1.1546319456101628e-14,-4.04121180963557e-14,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,6,joint,6,6,3,3,-2.9419670015441004,-2.2745403493216774,-2.2745403493219483,-2.274540349321804,-0.6674266522222965,-0.667426652222423,1.2656542480726785e-13,-0.6710236015315423,0.0035969493092458116,0.003596949309119246,1.2656542480726785e-13,-1.4432899320127035e-13,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,7,cross_product,49,10,4,4,-2.945563950853331,-2.2745403493218124,-2.2745403493218124,-2.2745403493218035,-0.6710236015315276,-0.6710236015315187,8.881784197001252e-15,-0.6710236015315423,1.4654943925052066e-14,2.353672812205332e-14,-8.881784197001252e-15,-8.881784197001252e-15,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,7,joint,7,7,3,3,-2.945563950853268,-2.2745403493215823,-2.2745403493218057,-2.2745403493218035,-0.6710236015314646,-0.6710236015316857,2.2115642650533118e-13,-0.6710236015315423,7.771561172376096e-14,1.4344081478157023e-13,2.2115642650533118e-13,-2.220446049250313e-15,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,8,cross_product,64,10,4,4,-2.9455639508533524,-2.274540349321817,-2.2745403493218306,-2.274540349321803,-0.6710236015315494,-0.6710236015315356,1.3766765505351941e-14,-0.6710236015315423,7.105427357601002e-15,6.661338147750939e-15,-1.3766765505351941e-14,-2.7533531010703882e-14,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,8,joint,8,7,3,3,-2.945563950853205,-2.2745403493219847,-2.2745403493216942,-2.274540349321803,-0.671023601531402,-0.6710236015312203,1.816324868286756e-13,-0.6710236015315423,1.4033219031261979e-13,3.219646771412954e-13,-1.816324868286756e-13,1.0880185641326534e-13,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,9,cross_product,81,10,4,4,-2.9455639508533413,-2.274540349321806,-2.2745403493218155,-2.274540349321803,-0.6710236015315383,-0.6710236015315352,3.1086244689504383e-15,-0.6710236015315423,3.9968028886505635e-15,7.105427357601002e-15,-3.1086244689504383e-15,-1.2434497875801753e-14,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,9,joint,9,7,3,3,-2.9455639508532516,-2.2745403493219225,-2.2745403493217218,-2.274540349321803,-0.6710236015314486,-0.6710236015313291,1.1945999744966684e-13,-0.6710236015315423,9.370282327836321e-14,2.1316282072803006e-13,-1.1945999744966684e-13,8.126832540256146e-14,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,10,cross_product,100,10,4,4,-2.9455639508533484,-2.2745403493218226,-2.2745403493218053,-2.274540349321805,-0.6710236015315436,-0.6710236015315258,1.7763568394002505e-14,-0.6710236015315423,1.3322676295501878e-15,1.6431300764452317e-14,-1.7763568394002505e-14,-4.440892098500626e-16,1.0665504826943772,1.3811989110355924
H2+H2,sto-3g,STO-3G,10,joint,10,7,3,3,-2.9455639508533444,-2.2745403493218745,-2.2745403493216894,-2.274540349321805,-0.6710236015315396,-0.6710236015314699,6.972200594645983e-14,-0.6710236015315423,2.6645352591003757e-15,7.238654120556021e-14,-6.972200594645983e-14,1.1546319456101628e-13,1.0665504826943772,1.3811989110355924
H2+H2,6-31g,6-31G,1,cross_product,1,1,1,1,3.338589419823591,3.7657654069351993,3.765765406934885,3.765765406934885,-0.4271759871112941,-0.42717598711160853,3.1441516057384433e-13,-0.7905995204862348,0.3634235333749407,0.3634235333746263,3.1441516057384433e-13,0.0,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,1,joint,1,1,1,1,3.338589419823591,3.7657654069351993,3.765765406934885,3.765765406934885,-0.4271759871112941,-0.42717598711160853,3.1441516057384433e-13,-0.7905995204862348,0.3634235333749407,0.3634235333746263,3.1441516057384433e-13,0.0,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,2,cross_product,4,4,4,4,1.16369857267008,-0.05356603814775051,-0.05356603736227786,-0.05356603735014689,1.217264610020227,1.2172646108178304,7.976035387713409e-10,-0.7905995204862348,2.0078641305064617,2.007864131304065,-7.976036220380678e-10,-1.213096983976314e-11,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,2,joint,2,2,2,2,2.1910386308729413,1.8581444414150654,1.8581444420820006,-0.05356603735014689,2.2446046682230882,0.33289418945787586,1.9117104787652124,-0.7905995204862348,3.035204188709323,1.1234937099441107,1.9117104787652124,1.9117104794321476,0.7461543343877661,0.8163604784911013
H2+H2,6-31g,6-31G,3,cross_product,9,9,9,9,-0.903488946880089,-1.4532386034239309,-1.4532386027983382,-1.4532386029005133,0.5497496560204244,0.5497496565438419,5.234175315393941e-10,-0.7905995204862348,1.3403491765066593,1.3403491770300766,-5.234175315393941e-10,1.0217515722388271e-10,0.7461543343877661,0.8163604784911013
