system,basis,label,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_ref,delta_vs_mono,delta_vs_dimer1000,abs_vs_mono,abs_vs_dimer1000,dropped
H2+H2,sto-3g,STO-3G,8,cp_lanczos,4,4,-2.2745403493218053,-2.2745403493218053,-2.2745403493218053,0.0,0.0,0.0,0.0,0
H2+H4,sto-3g,STO-3G,1,cross_product,1,1,-3.2153783881844937,-3.2770698193835126,-3.2153783881844937,0.0,0.061691431199018876,0.0,0.061691431199018876,0
H2+H4,sto-3g,STO-3G,1,joint,1,1,-3.2153783881844937,-3.2770698193835126,-3.2153783881844937,0.0,0.061691431199018876,0.0,0.061691431199018876,0
H2+H4,sto-3g,STO-3G,1,cp_lanczos,1,1,-3.2153783881844937,-3.2770698193835126,-3.2153783881844937,0.0,0.061691431199018876,0.0,0.061691431199018876,0
H2+H4,sto-3g,STO-3G,2,cross_product,4,4,-3.268566896013067,-3.2770698193835126,-3.2685668960130663,-8.881784197001252e-16,0.008502923370445448,8.881784197001252e-16,0.008502923370445448,0
H2+H4,sto-3g,STO-3G,2,joint,2,2,-3.266938911086532,-3.2770698193835126,-3.2685668960130663,0.001627984926534154,0.01013090829698049,0.001627984926534154,0.01013090829698049,0
H2+H4,sto-3g,STO-3G,2,cp_lanczos,4,4,-3.270394254646688,-3.2770698193835126,-3.270394254646688,0.0,0.006675564736824402,0.0,0.006675564736824402,0
H2+H4,sto-3g,STO-3G,3,cross_product,9,6,-3.2747540017702064,-3.2770698193835126,-3.2747540017702086,2.220446049250313e-15,0.002315817613306237,2.220446049250313e-15,0.002315817613306237,3
H2+H4,sto-3g,STO-3G,3,joint,3,3,-3.274478785245858,-3.2770698193835126,-3.2747540017702086,0.00027521652435069655,0.002591034137654713,0.00027521652435069655,0.002591034137654713,0
H2+H4,sto-3g,STO-3G,3,cp_lanczos,6,6,-3.275780952605988,-3.2770698193835126,-3.275780952605987,-8.881784197001252e-16,0.0012888667775245999,8.881784197001252e-16,0.0012888667775245999,0
H2+H4,sto-3g,STO-3G,4,cross_product,16,8,-3.2763801937920705,-3.2770698193835126,-3.2763801937920713,8.881784197001252e-16,0.0006896255914421445,8.881784197001252e-16,0.0006896255914421445,8
H2+H4,sto-3g,STO-3G,4,joint,4,4,-3.276119068876981,-3.2770698193835126,-3.2763801937920713,0.0002611249150903383,0.0009507505065315947,0.0002611249150903383,0.0009507505065315947,0
H2+H4,sto-3g,STO-3G,4,cp_lanczos,8,8,-3.2768311478030903,-3.2770698193835126,-3.2768311478030876,-2.6645352591003757e-15,0.00023867158042234493,2.6645352591003757e-15,0.00023867158042234493,0
H2+H4,sto-3g,STO-3G,5,cross_product,25,10,-3.2768067747217926,-3.2770698193835126,-3.276806774721794,1.3322676295501878e-15,0.0002630446617200022,1.3322676295501878e-15,0.0002630446617200022,15
H2+H4,sto-3g,STO-3G,5,joint,5,5,-3.2766767898583273,-3.2770698193835126,-3.276806774721794,0.00012998486346660343,0.00039302952518527334,0.00012998486346660343,0.00039302952518527334,0
H2+H4,sto-3g,STO-3G,5,cp_lanczos,10,10,-3.2770217351334634,-3.2770698193835126,-3.2770217351334607,-2.6645352591003757e-15,4.8084250049207355e-05,2.6645352591003757e-15,4.8084250049207355e-05,0
H2+H4,sto-3g,STO-3G,6,cross_product,36,12,-3.277001039181553,-3.2770698193835126,-3.2770010391815525,-4.440892098500626e-16,6.878020195966172e-05,4.440892098500626e-16,6.878020195966172e-05,24
H2+H4,sto-3g,STO-3G,6,joint,6,6,-3.276948662561193,-3.2770698193835126,-3.2770010391815525,5.237662035950663e-05,0.00012115682231961244,5.237662035950663e-05,0.00012115682231961244,0
H2+H4,sto-3g,STO-3G,6,cp_lanczos,12,12,-3.2770625911839644,-3.2770698193835126,-3.2770625911839644,0.0,7.2281995482370576e-06,0.0,7.2281995482370576e-06,0
H2+H4,sto-3g,STO-3G,7,cross_product,49,14,-3.2770469960871518,-3.2770698193835126,-3.27704699608715,-1.7763568394002505e-15,2.2823296360829914e-05,1.7763568394002505e-15,2.2823296360829914e-05,35
H2+H4,sto-3g,STO-3G,7,joint,7,7,-3.277003948658142,-3.2770698193835126,-3.27704699608715,4.304742900806957e-05,6.587072537067584e-05,4.304742900806957e-05,6.587072537067584e-05,0
H2+H4,sto-3g,STO-3G,7,cp_lanczos,14,14,-3.2770685105910937,-3.2770698193835126,-3.2770685105910924,-1.3322676295501878e-15,1.308792418885929e-06,1.3322676295501878e-15,1.308792418885929e-06,0
