system,basis,label,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_qkd,delta_vs_mono,delta_vs_dimer1000,abs_vs_mono,abs_vs_dimer1000
H2+H2,6-31g,6-31G,1,joint,1,1,-2.253467934233135,-2.3033654642197856,-2.253467934233135,0.0,0.049897529986650646,0.0,0.049897529986650646
H2+H2,6-31g,6-31G,2,cross_product,4,4,-2.295310779925541,-2.3033654642197856,-2.295310779925541,0.0,0.00805468429424483,0.0,0.00805468429424483
H2+H2,6-31g,6-31G,2,joint,2,2,-2.2949056601089683,-2.3033654642197856,-2.295310779925541,0.0004051198165724301,0.00845980411081726,0.0004051198165724301,0.00845980411081726
H2+H2,6-31g,6-31G,3,cross_product,9,9,-2.3022427887635293,-2.3033654642197856,-2.302242788763527,-2.220446049250313e-15,0.001122675456256328,2.220446049250313e-15,0.001122675456256328
H2+H2,6-31g,6-31G,3,joint,3,3,-2.301742892001843,-2.3033654642197856,-2.302242788763527,0.0004998967616840488,0.0016225722179425972,0.0004998967616840488,0.0016225722179425972
H2+H2,6-31g,6-31G,4,cross_product,16,16,-2.3033619421018856,-2.3033654642197856,-2.3033619421018905,4.884981308350689e-15,3.5221179000011205e-06,4.884981308350689e-15,3.5221179000011205e-06
H2+H2,6-31g,6-31G,4,joint,4,4,-2.3027662803968525,-2.3033654642197856,-2.3033619421018905,0.0005956617050379975,0.0005991838229331137,0.0005956617050379975,0.0005991838229331137
H2+H2,6-31g,6-31G,5,cross_product,25,24,-2.3033654590151693,-2.3033654642197856,-2.3033654590240977,8.928413564035509e-12,5.204616293497111e-09,8.928413564035509e-12,5.204616293497111e-09
H2+H2,6-31g,6-31G,5,joint,5,5,-2.3032679058890855,-2.3033654642197856,-2.3033654590240977,9.75531350122516e-05,9.755833070013153e-05,9.75531350122516e-05,9.755833070013153e-05
H2+H2,6-31g,6-31G,6,cross_product,36,26,-2.3033654641791212,-2.3033654642197856,-2.303365464219788,4.0666581213599784e-11,4.0664360767550534e-11,4.0666581213599784e-11,4.0664360767550534e-11
H2+H2,6-31g,6-31G,6,joint,6,6,-2.3033463362391204,-2.3033654642197856,-2.303365464219788,1.91279806673883e-05,1.9127980665167854e-05,1.91279806673883e-05,1.9127980665167854e-05
H2+H2,6-31g,6-31G,7,cross_product,49,31,-2.303365464218028,-2.3033654642197856,-2.303365464219782,1.7541523789077473e-12,1.7577050925865478e-12,1.7541523789077473e-12,1.7577050925865478e-12
H2+H2,6-31g,6-31G,7,joint,7,7,-2.3033599833639715,-2.3033654642197856,-2.303365464219782,5.480855810535701e-06,5.4808558140884145e-06,5.480855810535701e-06,5.4808558140884145e-06
