system,basis,label,active,subtraction,N,variant,R_gap,raw_dim,eff_dim,gs_total,gs_err,delta,delta_exact,err_int
H2+H4,6-31g,6-31G,cas66,cas_R1000,1,novel,1.1,1,1,-3.236152078568633,0.024082271961271218,0.05294101356894121,0.02885874160766999,0.024082271961271218
H2+H4,6-31g,6-31G,cas66,cas_R1000,1,both_order,1.1,2,1,-3.236152078568633,0.024082271961271218,0.05294101356894121,0.02885874160766999,0.024082271961271218
H2+H4,6-31g,6-31G,cas66,cas_R1000,1,hybrid,1.1,2,1,-3.236152078568633,0.024082271961271218,0.05294101356894121,0.02885874160766999,0.024082271961271218
H2+H4,6-31g,6-31G,cas66,cas_R1000,1,joint,1.1,1,1,-3.236152078568633,0.024082271961271218,0.05294101356894121,0.02885874160766999,0.024082271961271218
H2+H4,6-31g,6-31G,cas66,cas_R1000,2,novel,1.1,4,4,-3.2581814634981434,0.002052887031760875,0.030911628639430866,0.02885874160766999,0.002052887031760875
H2+H4,6-31g,6-31G,cas66,cas_R1000,2,both_order,1.1,8,5,-3.258971668990103,0.001262681539801136,0.030121423147471127,0.02885874160766999,0.001262681539801136
H2+H4,6-31g,6-31G,cas66,cas_R1000,2,hybrid,1.1,6,5,-3.258971382245816,0.0012629682840881173,0.03012170989175811,0.02885874160766999,0.0012629682840881173
H2+H4,6-31g,6-31G,cas66,cas_R1000,2,joint,1.1,2,2,-3.2574263267154535,0.0028080238144507774,0.03166676542212077,0.02885874160766999,0.0028080238144507774
H2+H4,6-31g,6-31G,cas66,cas_R1000,3,novel,1.1,9,9,-3.259590655977888,0.000643694552016072,0.029502436159686063,0.02885874160766999,0.000643694552016072
H2+H4,6-31g,6-31G,cas66,cas_R1000,3,both_order,1.1,18,13,-3.260011409152014,0.00022294137789025115,0.029081682985560242,0.02885874160766999,0.00022294137789025115
H2+H4,6-31g,6-31G,cas66,cas_R1000,3,hybrid,1.1,12,11,-3.2600001397734406,0.00023421075646368195,0.029092952364133673,0.02885874160766999,0.00023421075646368195
H2+H4,6-31g,6-31G,cas66,cas_R1000,3,joint,1.1,3,3,-3.259464730881799,0.0007696196481052908,0.029628361255775282,0.02885874160766999,0.0007696196481052908
H2+H4,6-31g,6-31G,cas66,cas_R1000,4,novel,1.1,16,13,-3.25972229815771,0.000512052372194205,0.029370793979864196,0.02885874160766999,0.000512052372194205
H2+H4,6-31g,6-31G,cas66,cas_R1000,4,both_order,1.1,32,19,-3.260144536770728,8.981375917649359e-05,0.028948555366846485,0.02885874160766999,8.981375917649359e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,4,hybrid,1.1,20,16,-3.260164715337856,6.963519204816748e-05,0.02892837679971816,0.02885874160766999,6.963519204816748e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,4,joint,1.1,4,4,-3.2599942484487574,0.0002401020811468868,0.029098843688816878,0.02885874160766999,0.0002401020811468868
H2+H4,6-31g,6-31G,cas66,cas_R1000,5,novel,1.1,25,18,-3.259747845456655,0.0004865050732494325,0.029345246680919423,0.02885874160766999,0.0004865050732494325
H2+H4,6-31g,6-31G,cas66,cas_R1000,5,both_order,1.1,50,27,-3.2601844913509908,4.9859178913536084e-05,0.028908600786583527,0.02885874160766999,4.9859178913536084e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,5,hybrid,1.1,30,21,-3.2602061368441415,2.821368576277905e-05,0.02888695529343277,0.02885874160766999,2.821368576277905e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,5,joint,1.1,5,5,-3.2601631521283334,7.11984015708822e-05,0.028929940009240873,0.02885874160766999,7.11984015708822e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,6,novel,1.1,36,20,-3.259749688401671,0.0004846621282332819,0.029343403735903273,0.02885874160766999,0.0004846621282332819
H2+H4,6-31g,6-31G,cas66,cas_R1000,6,both_order,1.1,72,31,-3.260189036620236,4.5313909668109886e-05,0.0289040555173381,0.02885874160766999,4.5313909668109886e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,6,hybrid,1.1,42,24,-3.260216345902162,1.8004627742485013e-05,0.028876746235412476,0.02885874160766999,1.8004627742485013e-05
H2+H4,6-31g,6-31G,cas66,cas_R1000,6,joint,1.1,6,6,-3.260209842516522,2.450801338227393e-05,0.028883249621052265,0.02885874160766999,2.450801338227393e-05
