system,basis,R,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_exact,E_mono_sum_qkd,E_mono_sum,delta_vs_mono,delta_vs_dimer1000,SC_err,gs_err,active,mono_active,SC_err_cas,abs_vs_mono,abs_vs_dimer1000
H2+H4,6-31g,1000.0,3,joint,3,3,-3.2886089850263156,-3.289093092137568,-3.289093096628687,-3.2886393019774607,-3.2886393019774607,3.0316951145081816e-05,0.0004841071112524631,3.0316951145081816e-05,0.0004841071112524631,cas66,cas22+cas44,0.0004841071112524631,3.0316951145081816e-05,0.0004841071112524631
H2+H4,6-31g,1000.0,3,novel,9,9,-3.2888538157099836,-3.289093092137568,-3.289093096628687,-3.2886393019774607,-3.2886393019774607,-0.00021451373252290296,0.0002392764275844783,0.00021451373252290296,0.0002392764275844783,cas66,cas22+cas44,0.0002392764275844783,0.00021451373252290296,0.0002392764275844783
H2+H4,6-31g,1000.0,4,hybrid,20,16,-3.2890738791013066,-3.289093092137568,-3.289093096628687,-3.2890005918537475,-3.2890005918537475,-7.32872475590618e-05,1.9213036261511718e-05,7.32872475590618e-05,1.9213036261511718e-05,cas66,cas22+cas44,1.9213036261511718e-05,7.32872475590618e-05,1.9213036261511718e-05
H2+H4,6-31g,1000.0,4,joint,4,4,-3.2889672775652032,-3.289093092137568,-3.289093096628687,-3.2890005918537475,-3.2890005918537475,3.331428854425056e-05,0.00012581457236482407,3.331428854425056e-05,0.00012581457236482407,cas66,cas22+cas44,0.00012581457236482407,3.331428854425056e-05,0.00012581457236482407
H2+H4,6-31g,1000.0,4,novel,16,13,-3.2890169928241892,-3.289093092137568,-3.289093096628687,-3.2890005918537475,-3.2890005918537475,-1.640097044175448e-05,7.609931337881903e-05,1.640097044175448e-05,7.609931337881903e-05,cas66,cas22+cas44,7.609931337881903e-05,1.640097044175448e-05,7.609931337881903e-05
H2+H4,6-31g,1000.0,5,hybrid,30,20,-3.289087682356514,-3.289093092137568,-3.289093096628687,-3.2890775211371777,-3.2890775211371777,-1.016121933616887e-05,5.409781054233065e-06,1.016121933616887e-05,5.409781054233065e-06,cas66,cas22+cas44,5.409781054233065e-06,1.016121933616887e-05,5.409781054233065e-06
H2+H4,6-31g,1000.0,5,joint,5,5,-3.2890646957922396,-3.289093092137568,-3.289093096628687,-3.2890775211371777,-3.2890775211371777,1.2825344938072192e-05,2.8396345328474126e-05,1.2825344938072192e-05,2.8396345328474126e-05,cas66,cas22+cas44,2.8396345328474126e-05,1.2825344938072192e-05,2.8396345328474126e-05
H2+H4,6-31g,1000.0,5,novel,25,18,-3.2890542464099948,-3.289093092137568,-3.289093096628687,-3.2890775211371777,-3.2890775211371777,2.3274727182887034e-05,3.884572757328897e-05,2.3274727182887034e-05,3.884572757328897e-05,cas66,cas22+cas44,3.884572757328897e-05,2.3274727182887034e-05,3.884572757328897e-05
H2+H4,6-31g,1000.0,6,hybrid,42,23,-3.289090208050978,-3.289093092137568,-3.289093096628687,-3.289090942143238,-3.289090942143238,7.340922598686461e-07,2.8840865899937285e-06,7.340922598686461e-07,2.8840865899937285e-06,cas66,cas22+cas44,2.8840865899937285e-06,7.340922598686461e-07,2.8840865899937285e-06
H2+H4,6-31g,1000.0,6,joint,6,6,-3.289083661511718,-3.289093092137568,-3.289093096628687,-3.289090942143238,-3.289090942143238,7.280631519890335e-06,9.430625850015417e-06,7.280631519890335e-06,9.430625850015417e-06,cas66,cas22+cas44,9.430625850015417e-06,7.280631519890335e-06,9.430625850015417e-06
H2+H4,6-31g,1000.0,6,novel,36,20,-3.289059892899717,-3.289093092137568,-3.289093096628687,-3.289090942143238,-3.289090942143238,3.10492435211529e-05,3.3199237851277985e-05,3.10492435211529e-05,3.3199237851277985e-05,cas66,cas22+cas44,3.3199237851277985e-05,3.10492435211529e-05,3.3199237851277985e-05
H2+H4,6-31g,1000.0,7,hybrid,56,26,-3.2890921860039706,-3.289093092137568,-3.289093096628687,-3.289090712701897,-3.289090712701897,-1.4733020736734659e-06,9.061335974891449e-07,1.4733020736734659e-06,9.061335974891449e-07,cas66,cas22+cas44,9.061335974891449e-07,1.4733020736734659e-06,9.061335974891449e-07
H2+H4,6-31g,1000.0,7,joint,7,7,-3.289091639920512,-3.289093092137568,-3.289093096628687,-3.289090712701897,-3.289090712701897,-9.272186152209372e-07,1.4522170559416736e-06,9.272186152209372e-07,1.4522170559416736e-06,cas66,cas22+cas44,1.4522170559416736e-06,9.272186152209372e-07,1.4522170559416736e-06
H2+H4,6-31g,1000.0,7,novel,49,23,-3.28907570031191,-3.289093092137568,-3.289093096628687,-3.289090712701897,-3.289090712701897,1.5012389986690522e-05,1.7391825657853133e-05,1.5012389986690522e-05,1.7391825657853133e-05,cas66,cas22+cas44,1.7391825657853133e-05,1.5012389986690522e-05,1.7391825657853133e-05
H2+H4,6-31g,1000.0,8,hybrid,72,29,-3.2890927847724827,-3.289093092137568,-3.289093096628687,-3.289092910402248,-3.289092910402248,1.2562976525742897e-07,3.0736508538353746e-07,1.2562976525742897e-07,3.0736508538353746e-07,cas66,cas22+cas44,3.0736508538353746e-07,1.2562976525742897e-07,3.0736508538353746e-07
H2+H4,6-31g,1000.0,8,joint,8,7,-3.2890914122805297,-3.289093092137568,-3.289093096628687,-3.289092910402248,-3.289092910402248,1.498121718235268e-06,1.6798570383613765e-06,1.498121718235268e-06,1.6798570383613765e-06,cas66,cas22+cas44,1.6798570383613765e-06,1.498121718235268e-06,1.6798570383613765e-06
H2+H4,6-31g,1000.0,8,novel,64,25,-3.289078110914917,-3.289093092137568,-3.289093096628687,-3.289092910402248,-3.289092910402248,1.4799487330741101e-05,1.498122265086721e-05,1.4799487330741101e-05,1.498122265086721e-05,cas66,cas22+cas44,1.498122265086721e-05,1.4799487330741101e-05,1.498122265086721e-05
