system,basis,label,N,variant,raw_dim,eff_dim,gs_total,gs_err,delta,delta_exact,err_int,active,subtraction,R_gap
H2+H2,6-31g,6-31G,4,joint,4,4,-1.77469546365987,0.003783612649594481,0.528533176214637,0.5247495635650425,0.003783612649594481,,,
H2+H2,6-31g,6-31G,5,novel,25,14,-1.7726464566936038,0.005832619615860679,0.5305821831809032,0.5247495635650425,0.005832619615860679,,,
H2+H2,6-31g,6-31G,5,both_order,50,20,-1.7767408306720407,0.001738245637423752,0.5264878092024663,0.5247495635650425,0.001738245637423752,,,
H2+H2,6-31g,6-31G,5,hybrid,30,17,-1.7770352608420898,0.0014438154673745984,0.5261933790324171,0.5247495635650425,0.0014438154673745984,,,
H2+H2,6-31g,6-31G,5,joint,5,5,-1.7766767469324476,0.0018023293770168536,0.5265518929420594,0.5247495635650425,0.0018023293770168536,,,
H2+H2,6-31g,6-31G,6,novel,36,17,-1.7727660199705673,0.005713056338897182,0.5304626199039397,0.5247495635650425,0.005713056338897182,,,
H2+H2,6-31g,6-31G,6,both_order,72,27,-1.7771788305518026,0.0013002457576618554,0.5260498093227044,0.5247495635650425,0.0013002457576618554,,,
H2+H2,6-31g,6-31G,6,hybrid,42,20,-1.7772571391267498,0.001221937182714683,0.5259715007477572,0.5247495635650425,0.001221937182714683,,,
H2+H2,6-31g,6-31G,6,joint,6,5,-1.776655269500309,0.0018238068091553927,0.5265733703741979,0.5247495635650425,0.0018238068091553927,,,
H2+H4,sto-3g,STO-3G,1,novel,1,1,-3.173329357126459,0.06047208061562692,0.09951127701970464,0.039039196404077714,0.06047208061562692,full,monomers,1.1
H2+H4,sto-3g,STO-3G,1,both_order,2,1,-3.173329357126459,0.06047208061562692,0.09951127701970464,0.039039196404077714,0.06047208061562692,full,monomers,1.1
H2+H4,sto-3g,STO-3G,1,hybrid,2,1,-3.173329357126459,0.06047208061562692,0.09951127701970464,0.039039196404077714,0.06047208061562692,full,monomers,1.1
H2+H4,sto-3g,STO-3G,1,joint,1,1,-3.173329357126459,0.06047208061562692,0.09951127701970464,0.039039196404077714,0.06047208061562692,full,monomers,1.1
H2+H4,sto-3g,STO-3G,2,novel,4,4,-3.2257450065188156,0.008056431223270266,0.04709562762734798,0.039039196404077714,0.008056431223270266,full,monomers,1.1
H2+H4,sto-3g,STO-3G,2,both_order,8,5,-3.231098337636169,0.002703100105916789,0.0417422965099945,0.039039196404077714,0.002703100105916789,full,monomers,1.1
H2+H4,sto-3g,STO-3G,2,hybrid,6,5,-3.2311253735798786,0.0026760641622072256,0.04171526056628494,0.039039196404077714,0.0026760641622072256,full,monomers,1.1
H2+H4,sto-3g,STO-3G,2,joint,2,2,-3.224547692857021,0.009253744885064918,0.04829294128914263,0.039039196404077714,0.009253744885064918,full,monomers,1.1
H2+H4,sto-3g,STO-3G,3,novel,9,9,-3.2315729274559573,0.002228510286128582,0.041267706690206296,0.039039196404077714,0.002228510286128582,full,monomers,1.1
H2+H4,sto-3g,STO-3G,3,both_order,18,13,-3.2333236913742525,0.000477746367833376,0.03951694277191109,0.039039196404077714,0.000477746367833376,full,monomers,1.1
H2+H4,sto-3g,STO-3G,3,hybrid,12,11,-3.23300885936054,0.0007925783815458942,0.03983177478562361,0.039039196404077714,0.0007925783815458942,full,monomers,1.1
H2+H4,sto-3g,STO-3G,3,joint,3,3,-3.2315763756719686,0.0022250620701171897,0.041264258474194904,0.039039196404077714,0.0022250620701171897,full,monomers,1.1
H2+H4,sto-3g,STO-3G,4,novel,16,14,-3.2326826774690254,0.0011187602730604596,0.040157956677138174,0.039039196404077714,0.0011187602730604596,full,monomers,1.1
H2+H4,sto-3g,STO-3G,4,both_order,32,22,-3.2336667660763236,0.00013467166576219824,0.03917386806983991,0.039039196404077714,0.00013467166576219824,full,monomers,1.1
H2+H4,sto-3g,STO-3G,4,hybrid,20,17,-3.233603865357006,0.0001975723850797806,0.039236768789157495,0.039039196404077714,0.0001975723850797806,full,monomers,1.1
H2+H4,sto-3g,STO-3G,4,joint,4,4,-3.233084420533242,0.0007170172088439841,0.0397562136129217,0.039039196404077714,0.0007170172088439841,full,monomers,1.1
H2+H4,sto-3g,STO-3G,5,novel,25,19,-3.2330189554539484,0.0007824822881374871,0.0398216786922152,0.039039196404077714,0.0007824822881374871,full,monomers,1.1
H2+H4,sto-3g,STO-3G,5,both_order,50,31,-3.233741079924121,6.0357817964984406e-05,0.0390995542220427,0.039039196404077714,6.0357817964984406e-05,full,monomers,1.1
H2+H4,sto-3g,STO-3G,5,hybrid,30,23,-3.2337487459543226,5.269178776323713e-05,0.03909188819184095,0.039039196404077714,5.269178776323713e-05,full,monomers,1.1
H2+H4,sto-3g,STO-3G,5,joint,5,5,-3.2335721776610793,0.00022926008100654371,0.03926845648508426,0.039039196404077714,0.00022926008100654371,full,monomers,1.1
H2+H4,sto-3g,STO-3G,6,novel,36,23,-3.2330627317121667,0.0007387060299191006,0.039777902433996815,0.039039196404077714,0.0007387060299191006,full,monomers,1.1
H2+H4,sto-3g,STO-3G,6,both_order,72,39,-3.233767848180717,3.3589561368785326e-05,0.0390727859654465,0.039039196404077714,3.3589561368785326e-05,full,monomers,1.1
H2+H4,sto-3g,STO-3G,6,hybrid,42,28,-3.2337854147851672,1.6022956918604336e-05,0.03905521936099632,0.039039196404077714,1.6022956918604336e-05,full,monomers,1.1
H2+H4,sto-3g,STO-3G,6,joint,6,6,-3.23373166661921,6.977112287565035e-05,0.039108967526953364,0.039039196404077714,6.977112287565035e-05,full,monomers,1.1
H2+H4,6-31g,6-31G,1,novel,1,1,-3.2361520785686277,0.02408227196130497,0.052941013568972295,0.028858741607667326,0.02408227196130497,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,1,both_order,2,1,-3.2361520785686277,0.02408227196130497,0.052941013568972295,0.028858741607667326,0.02408227196130497,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,1,hybrid,2,1,-3.2361520785686277,0.02408227196130497,0.052941013568972295,0.028858741607667326,0.02408227196130497,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,1,joint,1,1,-3.2361520785686277,0.02408227196130497,0.052941013568972295,0.028858741607667326,0.02408227196130497,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,2,novel,4,4,-3.258181463498442,0.0020528870314908687,0.030911628639158195,0.028858741607667326,0.0020528870314908687,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,2,both_order,8,5,-3.258971668990222,0.0012626815397105418,0.030121423147377868,0.028858741607667326,0.0012626815397105418,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,2,hybrid,6,5,-3.25897138224588,0.0012629682840525902,0.030121709891719917,0.028858741607667326,0.0012629682840525902,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,2,joint,2,2,-3.2574263267154624,0.0028080238144703173,0.031666765422137644,0.028858741607667326,0.0028080238144703173,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,3,novel,9,9,-3.25959065599117,0.0006436945387626736,0.02950243614643,0.028858741607667326,0.0006436945387626736,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,3,both_order,18,13,-3.2600114091341723,0.00022294139576040095,0.029081683003427727,0.028858741607667326,0.00022294139576040095,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,3,hybrid,12,11,-3.260000139859658,0.0002342106702748481,0.029092952277942175,0.028858741607667326,0.0002342106702748481,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,3,joint,3,3,-3.2594647308818185,0.0007696196481141726,0.0296283612557815,0.028858741607667326,0.0007696196481141726,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,4,novel,16,13,-3.2597222981536387,0.0005120523762940365,0.029370793983961363,0.028858741607667326,0.0005120523762940365,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,4,both_order,32,19,-3.260144536803386,8.981372654659481e-05,0.02894855533421392,0.028858741607667326,8.981372654659481e-05,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,4,hybrid,20,16,-3.260164715175838,6.96353540945438e-05,0.02892837696176187,0.028858741607667326,6.96353540945438e-05,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,4,joint,4,4,-3.2599942484474163,0.00024010208251645793,0.029098843690183784,0.028858741607667326,0.00024010208251645793,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,5,novel,25,18,-3.259747845491141,0.0004865050387916625,0.02934524664645899,0.028858741607667326,0.0004865050387916625,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,5,both_order,50,27,-3.2601844912871254,4.985924280731524e-05,0.02890860085047464,0.028858741607667326,4.985924280731524e-05,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,5,hybrid,30,21,-3.260206136731364,2.821379856854378e-05,0.02888695540623587,0.028858741607667326,2.821379856854378e-05,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,5,joint,5,5,-3.260163152110513,7.119841941971572e-05,0.028929940027087042,0.028858741607667326,7.119841941971572e-05,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,6,novel,36,20,-3.2597496883618255,0.0004846621681071639,0.02934340377577449,0.028858741607667326,0.0004846621681071639,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,6,both_order,72,31,-3.2601890363273025,4.531420263020891e-05,0.028904055810297535,0.028858741607667326,4.531420263020891e-05,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,6,hybrid,42,24,-3.2602163461429843,1.8004386948433648e-05,0.02887674599461576,0.028858741607667326,1.8004386948433648e-05,cas66,cas_R1000,1.1
H2+H4,6-31g,6-31G,6,joint,6,6,-3.2602098424525927,2.4508077340001932e-05,0.02888324968500733,0.028858741607667326,2.4508077340001932e-05,cas66,cas_R1000,1.1
